,text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,to,rt
1,@ChicagoJournals thanks for the bandanas! #AAA2011,FALSE,NA,21/11/2011 21:20,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,WennerGrenOrg,ChicagoJournals,NA
2,Representing CURRENT ANTHROPOLOGY at @AmericanAnthro #AAA2011 (w/ bandannas!) http://t.co/gF43YoDV UCPJ Exhibits photos http://t.co/bFFial35,FALSE,NA,21/11/2011 20:39,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,ChicagoJournals,NA,NA
3,Should I contact Third World Press? RT @public_archive The Magic of the Comaroffs. #AAA2011,FALSE,NA,21/11/2011 19:34,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.nibirutech.com&quot; rel=&quot;nofollow&quot;&gt;TwitBird&lt;/a&gt;,rjobson1990,NA,NA
4,RT @johnhawks: Great apes have no reduction of bone mineral density with aging in vertebral column #AAA2011 #scars,FALSE,NA,21/11/2011 19:23,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,AshleyRoz,NA,johnhawks
5,Eager for #aaa2011 goers to know about Museum Anthropology Review (6 yr old gold OA journal) @MuseAnthRev http://t.co/uLA7iH94,FALSE,NA,21/11/2011 19:22,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,NA
6,"Not sure what &quot;Bones and Clones&quot; is, but it looks like they had the second coolest booth at #AAA2011 last week (DER #1) http://t.co/O7VWGrh3",FALSE,NA,21/11/2011 18:33,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,DocuEd,NA,NA
7,RT @bjkingape: Inside Higher Ed's coverage of #AAA2011 discussion of ethics-code revision http://t.co/2qU9OhXD,FALSE,NA,21/11/2011 17:37,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,ktcapuchin,NA,bjkingape
8,#AAA2011 Insights into cultural change from a half century of fieldwork in the Caribbean http://t.co/Ll7323Nl,FALSE,NA,21/11/2011 17:28,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,erinbtaylor_,NA,NA
9,RT @AmericanAnthro #AAA2011 - #Arab Spring Can Help Rethink #Anthropology http://t.co/e6QZn24M,FALSE,NA,21/11/2011 17:25,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,JuliaLLyon,NA,AmericanAnthro
10,#AAA2011 - #Arab Spring Can Help Rethink #Anthropology http://t.co/FRD0vcRV,FALSE,NA,21/11/2011 17:18,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://publicize.wp.com/&quot; rel=&quot;nofollow&quot;&gt;WordPress.com&lt;/a&gt;,AmericanAnthro,NA,NA
11,"The #aaa2011 meeting in Montreal was intense and exhausting in the very best ways. I managed, like, two tweets. Lots of great connections.",FALSE,NA,21/11/2011 16:23,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,fiveoclockbot,NA,NA
12,RT @DUKEpress: Anthropologists consider a new code of ethics: http://t.co/MtO9H4Tc #AAA2011 w quote from David Price (ANTHROPOLOGICAL INTELLIGENCE),FALSE,NA,21/11/2011 16:15,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,heidisue1960,NA,DUKEpress
13,#AAA2011 Insights from long-term fieldwork in the Caribbean http://t.co/fw0jVEFj,FALSE,NA,21/11/2011 16:05,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,erinbtaylor_,NA,NA
14,RT @Anthroprobably: Anthropologists consider new code of ethics at #AAA2011 http://t.co/2oK8FVu7  via @BoneGirlPhD,FALSE,NA,21/11/2011 15:40,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,emilylenajones,NA,Anthroprobably
15,RT @erinbtaylor_: #AAA2011 Report on session addressing youth and digital media http://t.co/oDMf1UcP,FALSE,NA,21/11/2011 15:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,GawainLynch,NA,erinbtaylor_
16,RT @erinbtaylor_: #AAA2011 Gillian Tett: How can anthropologists contribute to economic policy debates? http://t.co/p70XaNxA,FALSE,NA,21/11/2011 15:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,GawainLynch,NA,erinbtaylor_
